ID,tank,days,w,intake,j,l,n,w_bar,r,s,d,sample,k
722,1,124,297,3.7345,1,1,178,291.2584269662921,0.019712985109173728,1,1,1_1,1
723,1,124,233,3.5308,2,1,178,291.2584269662921,-0.20002314636216337,1,1,1_1,1
724,1,124,314,1.4259,3,1,178,291.2584269662921,0.07808039503124764,1,1,1_1,1
725,1,124,292,3.1234,4,1,178,291.2584269662921,0.0025460998379755154,1,1,1_1,1
726,1,124,222,5.9752,5,1,178,291.2584269662921,-0.23779029395879944,1,1,1_1,1
727,1,124,363,4.753,6,1,178,291.2584269662921,0.2463158706889901,1,1,1_1,1
728,1,124,277,4.8209,7,1,178,291.2584269662921,-0.04895455597561912,1,1,1_1,1
729,1,124,235,5.5678,8,1,178,291.2584269662921,-0.19315639225368408,1,1,1_1,1
730,1,124,458,5.7036,9,1,178,291.2584269662921,0.5724866908417561,1,1,1_1,1
731,1,124,300,3.7345,10,1,178,291.2584269662921,0.030013116271892654,1,1,1_1,1
732,1,124,234,1.8333,11,1,178,291.2584269662921,-0.19658976930792374,1,1,1_1,1
733,1,124,317,2.6481,12,1,178,291.2584269662921,0.08838052619396657,1,1,1_1,1
734,1,124,266,4.5493,13,1,178,291.2584269662921,-0.08672170357225518,1,1,1_1,1
735,1,124,206,3.5308,14,1,178,291.2584269662921,-0.2927243268266337,1,1,1_1,1
736,1,124,301,2.8518,15,1,178,291.2584269662921,0.033446493326132296,1,1,1_1,1
737,1,124,217,0.1358,16,1,178,291.2584269662921,-0.25495717922999767,1,1,1_1,1
738,1,124,289,3.395,17,1,178,291.2584269662921,-0.007754031324743411,1,1,1_1,1
739,1,124,341,3.7345,18,1,178,291.2584269662921,0.17078157549571799,1,1,1_1,1
740,1,124,363,5.0925,19,1,178,291.2584269662921,0.2463158706889901,1,1,1_1,1
741,1,124,240,4.6172,20,1,178,291.2584269662921,-0.1759895069824859,1,1,1_1,1
742,1,124,279,2.6481,21,1,178,291.2584269662921,-0.04208780186713983,1,1,1_1,1
743,1,124,294,3.0555,22,1,178,291.2584269662921,0.0094128539464548,1,1,1_1,1
744,1,124,229,0.5432,23,1,178,291.2584269662921,-0.21375665457912194,1,1,1_1,1
745,1,124,217,1.0185,24,1,178,291.2584269662921,-0.25495717922999767,1,1,1_1,1
746,1,124,312,5.1604,25,1,178,291.2584269662921,0.07121364092276836,1,1,1_1,1
747,1,124,255,2.1728,26,1,178,291.2584269662921,-0.12448885116889125,1,1,1_1,1
748,1,124,218,2.5123,27,1,178,291.2584269662921,-0.251523802175758,1,1,1_1,1
750,1,124,245,3.5987,29,1,178,291.2584269662921,-0.15882262171128766,1,1,1_1,1
751,1,124,364,2.3086,30,1,178,291.2584269662921,0.24974924774322976,1,1,1_1,1
752,1,124,215,3.7345,31,1,178,291.2584269662921,-0.2618239333384769,1,1,1_1,1
753,1,124,319,3.9382,32,1,178,291.2584269662921,0.09524728030244585,1,1,1_1,1
754,1,124,296,2.716,33,1,178,291.2584269662921,0.016279608054934083,1,1,1_1,1
755,1,124,206,3.5987,34,1,178,291.2584269662921,-0.2927243268266337,1,1,1_1,1
756,1,124,322,2.8518,35,1,178,291.2584269662921,0.10554741146516478,1,1,1_1,1
757,1,124,342,2.3765,36,1,178,291.2584269662921,0.1742149525499576,1,1,1_1,1
758,1,124,240,2.4444,37,1,178,291.2584269662921,-0.1759895069824859,1,1,1_1,1
759,1,124,277,3.4629,38,1,178,291.2584269662921,-0.04895455597561912,1,1,1_1,1
760,1,124,282,3.3271,39,1,178,291.2584269662921,-0.03178767070442091,1,1,1_1,1
761,1,124,333,3.8024,40,1,178,291.2584269662921,0.14331455906180085,1,1,1_1,1
762,1,124,316,3.5308,41,1,178,291.2584269662921,0.08494714913972692,1,1,1_1,1
763,1,124,278,3.4629,42,1,178,291.2584269662921,-0.045521178921379475,1,1,1_1,1
764,1,124,215,3.5987,43,1,178,291.2584269662921,-0.2618239333384769,1,1,1_1,1
765,1,124,374,6.5184,44,1,178,291.2584269662921,0.28408301828562615,1,1,1_1,1
766,1,124,322,4.6172,45,1,178,291.2584269662921,0.10554741146516478,1,1,1_1,1
767,1,124,197,2.5802,46,1,178,291.2584269662921,-0.3236247203147905,1,1,1_1,1
768,1,124,241,2.9876,47,1,178,291.2584269662921,-0.17255612992824623,1,1,1_1,1
769,1,124,272,3.1234,48,1,178,291.2584269662921,-0.06612144124681733,1,1,1_1,1
770,1,124,277,1.358,49,1,178,291.2584269662921,-0.04895455597561912,1,1,1_1,1
771,1,124,319,4.1419,50,1,178,291.2584269662921,0.09524728030244585,1,1,1_1,1
772,1,124,239,3.1913,51,1,178,291.2584269662921,-0.17942288403672552,1,1,1_1,1
773,1,124,221,2.2407,52,1,178,291.2584269662921,-0.24122367101303907,1,1,1_1,1
774,1,124,316,3.9382,53,1,178,291.2584269662921,0.08494714913972692,1,1,1_1,1
